title_ch,title_eng,body,hsk_level,link 
考拉或面临功能性灭绝,Koala may be facing functional extinction,据报道，自澳大利亚进入山火季，着火面积已经超过上百万公顷，大火毁掉了考拉80%的自然栖息地，至少有一千只考拉葬身火海，加上自然栖息地恢复难度大，可爱的考拉正面临着功能性灭绝。功能性灭绝是指物种数量降低到在自然状态下基本丧失了维持繁殖的能力，甚至丧失了维持生存的能力。考拉基金会正呼吁政府颁布考拉保护法，考拉医院已筹集114.6万美元善款，将用于为考拉建立安全的栖息地，以及在山火破坏地区安装饮水站。,6,https://mandarinbean.com/koala-may-be-facing-functional-extinction/
垃圾换黄金,Garbage exchange gold,在印尼雅加达北部每个周二，居民都会带着垃圾去垃圾银行，因为这里鼓励居民环保，当居民累计到一定数量的垃圾，可以换黄金。垃圾的价格根据类型和数量定价，垃圾银行会将垃圾卖给政府，最后钱会进入居民在这个银行的账户。当累计到50美元的时候，居民会得到同等价值的1克黄金。当他们累计有5克黄金的时候，就能去当铺兑换真的黄金了。成功用垃圾换到黄金的人都很开心，谁不喜欢黄金呢？,5,https://mandarinbean.com/garbage-exchange-gold/
在泰国买房,Purchase a house in Thailand,2010年之前，整个泰国几乎没有中国购房者的身影，而近几年，当地中国购房者的数量几乎呈爆炸式增长。相比选择美国、澳大利亚等热门地区的投资者而言，中国购房者对泰国房产感兴趣的原因并不陌生，主要来自教育、医疗、生活方式、价格、娱乐、投资等各方面。 作为国际大都会，曼谷1100万长住人口中有超过300万的外国人。生活成本低廉让很多外国人对曼谷趋之若鹜。根据泰国法律规定，年满50岁的外国人可以申请长时间居留泰国的养老签证。高品质的医疗服务和实惠的价格也让更多人想在泰国养老。,6,https://mandarinbean.com/purchase-a-house-in-thailand/
VR 产业,VR industry,2019年的世界VR产业大会上，中国工信部部长表示，中国是全球虚拟现实产业创新创业最活跃、市场接受度最高、发展潜力最大的地区之一。虚拟现实产业有几个特点，第一是研发制造体系已经基本形成，第二是用户体验有很大改善，第三是VR内容资源越来越丰富，第四是融合、创新越来越快，VR技术在教育、设计、制造、展览等领域都有越来越多的应用，不断和传统行业融合。而中国，目前生产了全球70%以上的高端VR设备，已经具备了比较好的设计制造能力。,5,https://mandarinbean.com/vr-industry/
区块链的影响,The Impact of Blockchain,区块链这个概念对未来生活有什么影响呢？ 第一，因为区块链有不可篡改的特性，所以房产证等证明都可以在区块链上公证，变成全球都信任的东西，不再需要繁琐的个人证明。 第二，区块链有时间的通用记录存储。比如你去看病，不用因为换医生就反复检查，节省时间和开销。 第三，如果有了区块链，就可以免除中间商，达到商家和顾客直接进行连接和交易的目的。 第四，区块链可以让支付和交易变得更高效和便捷。 第五，在区块链技术下，你可以知道你购买的商品从生产到流通各个环节的过程。 第六，如果你是一个创作者，你可以把作品放在区块链上，如果有人使用你的作品，版税会自动支付给你。这样可以更好地保护版权。 你还知道区块链技术的哪些影响？,6,https://mandarinbean.com/the-impact-of-blockchain/
深圳：激励垃圾分类,Shenzhen: encourage garbage classification,还记得上海首先开始的垃圾分类要求吗？上海采取罚款等办法让人们养成垃圾分类的习惯，而深圳将采取激励垃圾分类的办法。从2019年11月1日起，被认定为“垃圾分类积极个人”的，可以获得通报表扬并奖励一千元；被认定为“垃圾分类好家庭”的，可以获得通报表扬并奖励2000元。垃圾分类工作成效显著的住宅区，可以获得通报表扬并奖励每千户十万元的补助，最高的补助不超过30万元。很多人认为这是好事，可以更加积极地鼓励大家分类垃圾，保护环境。,5,https://mandarinbean.com/shenzhen-encourage-garbage-classification/
新加坡禁止高糖饮料广告,Singapore bans high sugar drink advertisements,现在越来越多人意识到吃糖太多对身体的不利影响非常大，现代人很多疾病和衰老都是因为摄入太多糖分，但是我们的生活却充斥着各种含糖食品。比如，新加坡社会快速老龄化以及人们喜欢在廉价快餐店就餐，部分导致了新加坡是全球糖尿病发病率最高的国家之一。最近，新加坡的卫生部高级部长表示，高糖及含糖量中到高的饮料包装正面必须贴上标签，以表明它们是不健康的。为了减少疾病，新加坡也将成为世界首个禁止高糖饮料广告的国家。,6,https://mandarinbean.com/singapore-bans-high-sugar-drink-advertisements/
睡太多也不好,It’s also not good to sleep too much,我们可能都知道缺乏睡眠的危害，但是最近科学家发表研究表示睡太多也不好。研究结果发现，那些每晚睡九小时的人群，他们的认知能力全面下降，学习能力下降了百分之二十二，语言流利度下降了20%，记忆力下降了13%，而这些是阿尔兹海默症等痴呆症的早期症状。所以如果睡太多，可能会增加患痴呆症的风险。,5,https://mandarinbean.com/its-also-not-good-to-sleep-too-much/
科学家向鸟类植入记忆,Scientists implanted memories into birds,最近，德克萨斯大学的科学家首次成功地向鸟类的大脑植入记忆，让鸟类在无教导的情况下学会唱歌。科学家选用了一种雀作为实验对象，使用光遗传学控制了大脑与听觉经验学习有关的两个区域之间的相互作用，从而对鸟的记忆编码。这项研究的成功为识别影响发出声音的其他方面开辟了研究途径。,6,https://mandarinbean.com/scientists-implanted-memories-into-birds/
修改朋友圈定位,Modify WeChat Moments Positioning,如果你使用微信，你肯定知道微信的朋友圈可以发照片，照片下面还可以添加你的所在地定位。最近，某个电子商务平台提供了一种服务，专门帮人修改朋友圈的定位，你可以选择全球任何一个地方，价钱最低10元。用户需要编辑好图文，提供个人信息给卖家修改。有卖家称，国庆假期购买各地定位服务的客户都有，假定位也不会被发现，而这些用户也可以让他们的朋友相信他们去了某个地方旅游。,5,https://mandarinbean.com/modify-wechat-moments-positioning/
全球最宜居城市,The most livable city in the world,奥地利首都维也纳连续第二年被评为世界最宜居城市。 维也纳一直都因其宏伟的建筑、开阔的绿地和传统的咖啡店而闻名。而它也因其稳定程度、文化环境、教育和基础设施、卫生保健这些方面都几乎完美而被评为最宜居城市。 维也纳去年超越了曾经连续七年蝉联最宜居城市的墨尔本。墨尔本目前排在第二。榜单的前五名还有悉尼、大阪和卡尔加里。,6,https://mandarinbean.com/the-most-livable-city-in-the-world/
租望远镜看兵马俑,Rent a Telescope to See the Terracotta Warriors,中国的国庆节有七天假期，所以也叫“黄金周”，很多人都计划了旅行。中国的历史古城西安就是非常受欢迎的景点，其中，秦代的兵马俑博物馆是必去的景点。黄金周前五天，西安的兵马俑博物馆接待了38.7万人。游客们排队两个小时只能看两分钟，很多人还要租望远镜才能看清楚。难怪越来越多的人选择在黄金周出国旅游，这样就不会那么人山人海了。,5,https://mandarinbean.com/rent-a-telescope-to-see-the-terracotta-warriors/
女性更擅长情节记忆,Women are better at plot memory,科学家最新研究发现，女性比男性更擅长回忆各种细节。情节记忆指的是回忆起诸如上周发生了哪些事，或者今早是否喂了猫等自传式事件的能力。女性似乎具有天然的优势，能记住一段对话里的细节，东西可能在哪儿，这是因为她们的情节记忆更好。女性也更擅长记住面容以及回想起味道等感官记忆。而男性更擅长空间记忆的处理等信息。,6,https://mandarinbean.com/women-are-better-at-plot-memory/
快乐的秘诀,The secret of happiness,你知道快乐的秘诀是什么吗？最近一项研究发现，快乐的秘诀就是让自己忙。让自己有事情想，无论什么事情都有助于抵制消极情绪。这项研究的教授建议政府可以让大家建造桥梁来提升他们的幸福感，即使这个桥梁没有什么实际作用。除了行动，思考或反省也是让自己动的一种方式。无论是体力活动还是脑力活动，只要有事情做，就对你有益。,5,https://mandarinbean.com/the-secret-of-happiness/
女性车厢,Female compartment,为了方便女性乘客，深圳地铁最近开设了女性优先车厢。但是记者体验之后发现并没有女性优先，很多男性也在排队乘坐。面对这个问题，深圳地铁提出，在高峰时段对于其他乘客，工作人员可以劝离。也有人觉得这样不好，因为一个良好的倡议变成了强制的规则，这样对男性不公平，并且也是对女性的变相歧视。你觉得呢？该不该设置女性车厢？,6,https://mandarinbean.com/female-compartment/
上海迪士尼允许带食物进入,Shanghai Disney allows enter with food,上海的一名大学生最近起诉上海迪士尼，因为迪士尼禁止游客带食物进入。最后结果是迪士尼赔偿这名大学生食物损失50元，并且宣布从9月11日起允许游客带食物进入。对这个结果，有的人觉得这是大家的胜利，也有人为迪士尼未来的环境和体验感到担忧。,5,https://mandarinbean.com/shanghai-disney-allows-enter-with-food/
黑巧克力的好处,The benefits of dark chocolate,科学家发现，吃黑巧克力或能将患抑郁症的风险降低四分之三。研究发现，与不吃巧克力的人相比，任意两天内吃过黑巧克力的人在此前两周出现临床相关抑郁症状的几率要低70%。当然，一般来说，选择黑巧克力的人可能更有健康意识，这也可以预防抑郁。抑郁的人也更有可能想吃更多的高糖高脂食物，因此在选择巧克力时，他们不太可能选择黑巧克力。,5,https://mandarinbean.com/the-benefits-of-dark-chocolate/
故意酒驾,Deliberately drunk driving,福建厦门的一名男子报警说自己酒后驾驶了。警察赶到现场以后，这名男子坦白说：因为自己的工作压力和感情问题，想到拘留所里面冷静几天，所以故意酒后驾驶。警察带他到医院检测之后认定，确实是酒后驾驶机动车，就按规定罚款一千元，扣12分，暂扣驾驶证六个月。,6,https://mandarinbean.com/deliberately-drunk-driving/
坏品质,Bad quality,我们都不喜欢坏品质，但是有三种坏品质可能对你有帮助。 第一，自私 我们都认为自私是贪婪、无情的，不是好的品质。但是事实上，通过优先关注自己的事不仅会让你变得更强大，而且还可以更好地帮助别人。自私和帮助别人也并不矛盾。 第二，懒惰 对一些无关紧要的事懒惰会为你节省很多时间，减少不必要的压力。做完最多的事并非是最好的选择，做完最重要的事才是最佳选择。它能最大限度地提升你的生活。要生活得既聪明又平衡，尽量利用懒惰的优势，不要做不必要的巨大努力。 第三，冷酷无情 多一点恰当的冷酷对我非常有帮助。有些时候，你必须做出一些对你来说更困难的决定或是放弃一些你不想放弃的事，否则你将无法腾出你所需要的时间和精力。你是自己生活的主人。,5,https://mandarinbean.com/bad-quality/
亚马逊推出信用卡,Amazon launches credit card,信用不好的人可能很难申请信用卡，但是现在没问题了。亚马逊针对那些信用评分不是很高的人推出了一款新的信用卡，计划让人们存入可退还的保证金来设定总限额。合作的同步银行（SynchronyBank）会收取保证金并给你信贷额度。之后人们就可以在亚马逊上用新的信用卡来消费，没有手续费，还可以根据消费金额获得不同的免息优惠。这个信用卡的年利率为28.24%。这个项目的意图是吸引新的消费者，鼓励他们去亚马逊上消费并及时还款，可以提高他们的信用评分，这样就有机会取得另一张不需要全额预付信用额度的新卡。,6,https://mandarinbean.com/amazon-launches-credit-card/
亚马孙雨林大火,Amazon rainforest fire,最近，被称为“地球之肺”的亚马孙雨林着火了。虽然每年都会着火，但是今年的火特别厉害，最干燥的九月还没来，着火点的数量已经明显上升。专家认为，只有过度的森林砍伐才能解释这个现象。今年七月，亚马孙雨林被砍伐面积达到2254平方公里，同比上升了2.78。联合国和其他一些国家已经对巴西施压，巴西政府宣布采取措施帮助灭火。,5,https://mandarinbean.com/amazon-rainforest-fire/
中国人吃盐太多了！,Chinese people eat too much salt!,中国人平均每天吃掉10g盐，是世界卫生组织推荐量的两倍，过去40年间中国成年人食盐量位居世界首位。盐摄入过量会使血压升高，是中风和心脏病的主要原因，致死人数约占中国死亡总人数的40%。 中国北方地区盐摄入量为每天11.2g，全球最高，这一数字从20世纪80年代起一直在下降，当时为每天12.8g，进入21世纪以后下降最为明显。原因可能是政府加强盐意识教育以及人们对腌制食品的依赖程度下降，因为全年蔬菜供应量增加了。 然而中国南方并未出现下降趋势，盐摄入量从20世纪80年代开始，每天8.8g大幅上升至2010年以后的每天10.2g。原因可能在于加工食品和外出就餐量增长，从而导致政府的努力未达到预期效果。,6,https://mandarinbean.com/chinese-people-eat-too-much-salt/
汤圆,Tang Yuan,汤圆是一种中国的传统小吃。因为也是元宵节的特色食物，所以又叫元宵。这种食物的历史很长，从宋朝就开始了。汤圆里面一般有芝麻等原料，外形像一个球。有的地方也有咸汤圆，里面是肉等原料。吃汤圆意味着全家团聚，幸福美满，有非常美好的意义。,5,https://mandarinbean.com/tang-yuan/
饺子,Dumplings,大家都知道，饺子是中国的传统食物，也是中国民间的主食和地方小吃，过年过节必不可少。距饺子被发明出来，已经有1800多年的历史了。饺子是深受中国人喜爱的传统特色食品，也是外国人最熟悉的中国美食。有水饺、蒸饺、煎饺等各种做法。饺子的原料营养齐全，非常健康，并且符合中国饮食文化的内涵。,6,https://mandarinbean.com/dumplings/
中国的南北差异,North-South differences in China,我们知道中国很大，因为中国南方北方的地理位置、气候特征、历史文化、风俗习惯以及政治经济活动等方面都有不同，这就造成了中国南方北方的显著差异。 气候方面，南方雨季更长，都集中在夏秋季节，比较潮湿；而北方则降水较少，比较干旱。 因为历史的原因，中国北方军事、政治活动更活跃，南方经济、文化产业更发达。 文化方面，北方大部分地区都是北方方言区，交流没有什么问题。而南方因为地理环境比较复杂，有很多方言，差异很大。 中国的南方北方还有很多差异，你还知道什么？,5,https://mandarinbean.com/north-south-differences-in-china/
水熊虫,Water bears,你知道水熊虫吗？水熊虫并不是一个物种，而是由1000多个物种组成的缓步动物门的统称。这些8只爪、长得有点像米其林的家伙看似简单，耐受极端环境的能力却令人惊叹。 它能在-20℃沉睡30年后成功苏醒，能在150℃高温下继续存活，甚至还能在没有食物没有水的月球表面生存下来。水熊虫们的栖息地相当广泛，海洋、淡水甚至沼泽中都有它们的身影。水熊虫必须要在水环境中才能生长和繁殖，而遇到干涸时，它们会让自己脱水收缩，进入一种“隐生”状态。这种状态下，水熊虫可以耐受各种极端的物理环境。,6,https://mandarinbean.com/water-bears/
高温中吵架,Arguing in high temperature,最近中国一直处于高温天气，江苏省的两名男子因为经济纠纷产生矛盾，一直在室外吵架推搡，互不相让。当时的室外温度在35度以上，两个人在太阳下吵了半个多小时。警察到了以后，两个人由于体力不支，都中暑晕倒了。网友们评论：为什么不选一个凉快的地方呢？,5,https://mandarinbean.com/arguing-in-high-temperature/
远离负能量,Keep away from negative energy,我们大多数人都会认为，近朱者赤，近墨者黑。如果一个懒人身边全是高效率的人，那他肯定会受鼓舞，从而会变得更加勤奋。然而，事实上，结果恰恰和我们想象的相反。一个带有负能量的人，其实可以易如反掌地影响整个团队的现状。 当你允许负能量的人出现在你的生活中时，你实际上就是在默许他们的行为。这和他们无关，只和你有关。你给他们提供了适合生长的土壤。负能量是具有传播性的。我们也不应该容忍负能量的坏习惯和行为。否则，我们自己就有可能变成负能量的人。,6,https://mandarinbean.com/keep-away-from-negative-energy/
目光接触,Eye contact,我们都知道在与人交流时目光接触很重要。科学家最近做了这样一个实验：给被试者看一些发怒的人和看起来让人害怕的人的照片，测量当时他们的大脑活动。 我们会发现大脑的一部分控制着情绪，并会察觉出潜在威胁。如果盯着其他东西，比如桌子，就不会使你感到不安。如果盯着一样东西看并受到惊吓，你的大脑就会努力找出使你害怕的东西，并评估是否会对你造成危险。在不同情况下，目光交流的意义也不同。如果我很生气地看着你，我也可能会成为一种威胁。但是如果你是受到惊吓后看着别人，就不大可能表现出攻击性。研究表明，人们在评估威胁和情绪时，目光接触起着重要的作用。,5,https://mandarinbean.com/eye-contact/
无时间区域,No Time Area,随着北半球的夏至日临近，索玛若伊岛（夏之岛）想要用花环取代钟表，尽享夏日，并宣称这里是世界上第一个“无时间区域”。 这个岛位于北极圈以北，从五月十八日直到七月二十六日的六十九天中，太阳都不会落山，从十一月到次年一月，太阳都不会升起。因此他们会充分利用夏季这宝贵的几个月，不会顾及传统的计时。白昼一直持续，他们也就按照白天的习惯生活。现在人们想让这种状态正式化。 今年，岛民们签署了一份要求废除时间制的请愿书，并向国会议员递交了当地人的签名，讨论了该方案面临的实际问题和法律挑战。岛民希望不再遵从传统的营业时间，并使上学和工作时间更加灵活。 毫无疑问，岛上居民和挪威旅游局都希望游客们能被北欧无尽的夏日美景所吸引。该把时钟都收起来了。,6,https://mandarinbean.com/no-time-area/
如何成为幸运儿？,How to be a lucky one?,生活中，有的人说自己是幸运儿，也有的人说自己是倒霉蛋。经过多年研究之后，心理学家发现这些人中的确有人运气更好，因为他们掌握了抓住好运的秘诀，从而在生活中获得成功。下面就是可以在事业、爱情和生活中获得好运的五大秘诀。 1、走出你的舒适区。如果你总是害怕被拒绝、害怕面对尴尬，那么比起那些勇敢面对风险的人，你会少掉很多机会。 2、好奇身边的一切。对什么都感兴趣的人也会让别人感兴趣。幸运儿往往充满好奇，善于观察，渴望了解周围的一切，把自己放在任何有可能出现好运的地方。 3、相信自己有好运。在出席聚会或商务会议之前，告诉自己我是幸运儿，我能交好运，这样你就能更自信地去认识他人，用新的方式去探索世界，，在机会出现的时候及时抓住它。如果你不断暗示自己是个倒霉蛋，同样地，你也会一语成谶。 4、永不言弃。厄运来时，倒霉的人会崩溃，而幸运的人会从坏运气中吸取经验。别让失败的恐惧停下你的脚步。 5、看到事物的光明面。倒霉的人往往显得更加紧张、焦虑和消极。一旦有什么事情发生，倒霉的人就会把注意力集中在不好的一面，而不去看积极的一面。积极的人和消极的人，你觉得哪种人在生活中会取得更大的成就？,5,https://mandarinbean.com/how-to-be-a-lucky-one/
整容客户低龄化,Plasticized customers are younger,据报道，全球美容整形手术的数量在增加，客户的平均年龄也在下降。2018年接受整容手术的2200万中国人中，28岁以下的客户占54%（近1200万）。与此同时，青少年占到了总量的8%。 全球整容手术的客户都呈年轻化趋势，医生和心理学家指出，这是受社交媒体兴起的影响。 整容手术早期的标志性趋势是要求把五官整成名人的样子。现在，以自拍为主导的社交媒体文化促使更多年轻人去做美容手术。55%的整形外科医生声称曾见过想改善自己的自拍形象的客户，提出这种要求的更多的是青少年，他们使用社交媒体比成年人更频繁。 专家表示，社交媒体对心理健康和幸福度会造成一定的负面影响。,6,https://mandarinbean.com/plasticized-customers-are-younger/
你为什么还没有升职？,Why haven’t you been promoted yet?,工作一段时间以后，很多没有机会升职的人可能都会在心里问自己：为什么？ 通常情况下，职位更高意味着需要承担领导责任：你需要激励你的团队，为团队思考新的发展方向。即便你在工作中很出色，但如果你无法领导他人，你就没有升职的资格。如果你适合当领导，也许是因为你还没找到机会证明这一点。当老板需要帮助的时候，你应该挺身而出承担责任，让老板看到你的实力。此外，如果距离上一次完美完成任务已经过了几周，或者最近你犯了几次小错，这样的情况也很难得到升职，因为大家会认为你的工作表现不稳定。 升职的机会永远是留给那些有过升职记录的人的。如果你一直停留在某一个岗位，你的老板可能不会将你纳入升职考虑的范畴。他们可能认为你只是一个可靠的员工，十分满足现状。,5,https://mandarinbean.com/why-havent-you-been-promoted-yet/
从网络支付到无人超市,From online payment to self-service supermarkets,支付宝和微信支付在中国很受欢迎，它可以让人们在任何地方进行网上支付，甚至小生意也是一样的。网络支付能够促进商业交易，是支付账单的方式。随着这些无纸币交易的发展，无人超市终于开始流行了。它是特殊的超市，营业中没有员工，客户可以购买他们想要的东西，然后在网上支付。如果顾客偷东西，他们的信用就会被降低，这意味着他们下次将无法在商店里进行购买。涉及到信用是很棒的，这样人们才会自律。信用是必须的。如果每个人都保护这个行业，那么这个行业就可以走得很远。,6,https://mandarinbean.com/from-online-payment-to-self-service-supermarkets/
学会管理时间,Learn to manage time,时间都去哪儿了？想挽留逝去的时间最好的方法就是学会管理时间。 首先你要了解时间浪费在哪里了。很多方面的时间管理你可能都需要改进。开始审视，开始每天在这些事务上用心。不要懈怠，必须严格要求自己。 你也可以找一些时间管理的工具来帮助你。井井有条的生活有益于进行时间管理，因为这样你就不必去想接下来要做的事。你也可以查看自己的安排，是否有会议要参加，要去附近的哪个餐馆，还要做哪些琐碎的事情。手机、电脑或者笔记本，这些工具都可以，只要能帮助你安排时间。 找朋友一起吃饭！一个人吃饭其实是很浪费时间的。如果你用吃饭的时间来社交，那么你不但可以吃一顿有意义的饭，还能节约其他的社交时间。 提前计划也是很重要的一步。每天晚上花点时间想想明天要做什么。把闹钟的时间设置得提前一点，计划好路线，尽可能避免早高峰。虽然这会花掉你几分钟时间，但会为明天节约大量时间。 最后一点，知道孰轻孰重。把要做的事情，不论多小，都按顺序列在单子上。然后你就可以开始排时间表了，紧急重要的事要先做，这样你就不会把时间都浪费在一些琐碎的事情上了。这种做法能避免你分散精力、浪费时间。,5,https://mandarinbean.com/learn-to-manage-time/
控制你的情绪,Control your emotions,你必须控制并导引你的情绪而非摧毁它，况且摧毁情绪是一件不可能的事情。情绪就像河流一样，你可以筑一道堤坝把它挡起来，并在控制和导引下排放它，但却不能永远抑制它，否则那道堤坝迟早会崩溃，并造成大灾难。 你的消极心态同样也可以被控制和导引，积极心态和自律可去除其中有害的部分，而使这些消极心态能为目标贡献力量。有的时候恐惧和生气会激发出更彻底的行动，但是在你释放情绪之前务必要让你的理性进行检验，缺乏理性的情绪必然是可怕的。 自律会让你的意志力成为理性和情绪的后盾，并强化二者的表现。如果没有了自律，你的理智和感情便会随心所欲地释放，结果当然是你自己会受到严重的伤害。,6,https://mandarinbean.com/control-your-emotions/
运动的快乐,Happiness of Sports,如果你想获得更多快乐，也许你应该去健身房。最近一项有趣的新研究发现，积极锻炼身体的人比不积极锻炼的人拥有更强的幸福感，而且积极锻炼身体的人的幸福指数和每年多挣2.5万美元却不运动的人差不多。 研究显示，经常运动的人平均每年会有35天感觉不适，而不怎么运动的人每年的不适天数会多18天。各种运动中，尽管自行车排名很高，但社交体育运动（如团体运动）能产生更积极的影响。当然，如果运动过量，这也会让身体产生不适。理想的运动强度似乎是每周进行3-5次锻炼，每次持续30-60分钟。 其实，任何量级的运动都有好处，不要强调达到完美的平衡，因为所有运动类型都与较低的心理健康负担相关。,5,https://mandarinbean.com/happiness-of-sports/
996工作制,996 work schedule,不久前，中文互联网掀起了一场关于996工作制的讨论。996的意思是员工从早上9点工作到晚上9点，每周工作6天，并且没有加班费。 中国的劳动法规定，员工每天工作不得超过8小时，或每周不超过44小时。雇主可以在与员工协商后延长工作时间，但加班时间不应超过每天3小时或每月36小时。但996工作制能轻易将工作时间增加到每周60个小时。 虽然法律规定雇主必须向加班员工支付加班费、奖金和福利。但很多科技公司员工称这是可望而不可及的。电子商务巨头阿里巴巴的一名匿名资深程序员说，公司管理人员很少说996工作制是强制性的，但如果不遵从这一规则，绩效分数会很低，甚至被裁员。软件程序员们中流传着一句话：工作996生病ICU。 大城市的生活压力和行业的激烈竞争造成了现在这种局面，而能有效提高工作效率的方法应该是我们需要探索的。,6,https://mandarinbean.com/996-work-schedule/
年龄不是借口,Age is not an excuse,在中国，尊重老年人是传统，所以在公众场合，老年人享受优先权，比如公共汽车有座位坐。对于小孩子，当他们犯错误时，父母会因为孩子年幼无知保护他们。老年和孩子似乎是享受特殊待遇的团体。但是现在新闻报道了许多由老年人和小孩子造成的负面行为。老人因为想要在篮球场上跳舞而殴打年轻人。小孩损坏公共财产，却不用负责任。公众对这些事件非常生气，他们开始思考传统美德。好的行为才值得我们去尊重，而不是年龄。年龄并不是逃避责任的借口。,5,https://mandarinbean.com/age-is-not-an-excuse/
微软删除人脸识别数据库,Microsoft deleted the face recognition database,微软一直都号称拥有最大的人脸数据库，任何人都可以使用它来训练面部识别算法。因为媒体的报道引发了关于隐私和道德问题的关注，曾经公开可用的数据集已经悄然消失。现已删除的数据集中包含超过1000万张面孔，这些面孔来自Flickr等网站，这些网站储存的是根据知识共享许可上传的照片——这意味着许多都可以免费，但可能有版权问题。其中的许多面孔不属于名人——包括记者和隐私研究人员——并且他们不知道自己的图像被包括在内。 当然，微软并不是唯一一家通过从开放的互联网上抓取照片来组装大型数据集的公司。调查显示，很多创业公司一直在使用照片收集应用程序暗中收集数百万张面孔，而其他公司则一直在扫描大量的大头照。,6,https://mandarinbean.com/microsoft-deleted-the-face-recognition-database/
偶像崇拜,The Worship of Idols,最近，一位中国学者因为他杰出的论文获得了1000多万元的奖金。大家热烈讨论了此事，他们怀疑这个消息的可靠性。对于年轻一代来说，他们很少关注知识圈，他们关心的是娱乐圈。他们崇拜在电影和音乐方面有成就的名人。西方国家的情况就有所不同了，运动员很受欢迎，许多青少年非常喜欢他们，他们从偶像身上看到了坚强的精神。作家也占据了一部分市场。的确，偶像的多样性能更好地帮助人们认识世界。科学家们应该被赋予更多的市场价值，从而被年轻一代所熟知，因为他们呈现的智慧是值得效仿的。,5,https://mandarinbean.com/the-worship-of-idols/
办公室的分心因素,The distraction factors in office,在办公室里工作，最让人分心的不是室温或室外的车辆噪音，而是我们自己。 一个调研公司就办公室设计和干扰因素进行了全球调查，访问了5150名在企业环境中至少工作了三天的员工，结果显示，76%的受访者认为同事在办公室里大声讲电话会造成中高度或极高水平的干扰，这也是是此次调查中发现的最常被提及的干扰源。65%的受访者指出同事在旁边说话会对工作造成干扰。 26%的人认为磨咖啡的声音会造成中度至极高水平的干扰，46%的人反映他们会因办公室里的宠物而分心，53%的人表示来访的儿童会造成中度至极高水平的干扰。越来越多人开始抵制开放式办公室的方案。研究发现，开放式办公室导致面对面合作减少，工作效率降低，尤其是那些从事创意工作的人。不过，工作时受到干扰不是开放式办公室才存在的问题。此次调查中只有61%的人称在开放式办公室里工作，但所有受访者中有0.98表示自己在工作时受到了干扰。,6,https://mandarinbean.com/the-distraction-factors-in-office/
是时候调高空调温度了！,It’s Time to Raise the Air Conditioning Temperature!,夏天，办公室空调的温度应该开几度？其实，办公室温度不仅和舒适度有关，还对工作有影响。新研究发现，把空调温度调高有利于提高女性的工作效率，而低温则有利于男性更好地工作。 一项在德国开展的研究测试了500名男性和女性在各种温度下执行一系列任务的能力。研究发现，在较高的温度下，女性做数学题和文字题时表现更好，男性则正好相反。并且女性工作效率的提高幅度比男性工作效率的下降幅度“明显更大”。因此，男女混合的工作场所中或许可以通过调高室温来提高工作效率。 另外一项研究显示，女性所适合的办公室平均温度大约比男性高3度。该研究发现，女性的代谢速率明显低于男性。男性在22度左右时感觉很舒适，而女性则会觉得22度有点儿冷。,5,https://mandarinbean.com/its-time-to-raise-the-air-conditioning-temperature/
别让屏幕替代父母,Don’t let the screen replace the parents,根据世界卫生组织新发布的指导方针，不应该让婴幼儿被动地看电视或其他屏幕。两岁以下的幼儿不能久坐不动地看屏幕，包括玩电脑游戏。两岁到四岁的幼童每天看屏幕的时间最好不要超过一个小时。 世界卫生组织的新指导意见主要关注被动看屏幕的现象——小孩被放在电视机或电脑前，或让孩子玩平板电脑或手机，该指导意见的目标是解决儿童缺乏活动的问题，活动量不足是造成全球死亡和肥胖相关疾病的首要风险因素。这是世界卫生组织首次对五岁以下儿童的身体活动、久坐行为和睡眠提出建议。 除了对被动屏幕时间提出警告，宝宝坐在婴儿车、车座或背带上的时间一次也不能超过一个小时。 屏幕时间是否得到控制？屏幕使用是否干扰了家庭计划？屏幕使用是否干扰了睡眠？你能控制孩子在屏幕时间不吃零食吗？如果对于这些问题一个家庭能给出满意的答案，那他们就能妥善处理屏幕时间的问题。,6,https://mandarinbean.com/dont-let-the-screen-replace-the-parents/
花钱能提高你的生活满意度？,Can Spending Money Improve Your Life Satisfaction?,挣钱和花钱，哪个能让你对生活更满意？英国国家统计局的调查发现，花钱才能提高你的生活满意度。 一项新研究指出，决定生活满意度的不是你的收入，而是你的支出。英国国家统计局称：”在考虑了年龄、婚姻和就业等因素后，没有足够的数据证明家庭可支配收入和生活满意度的关系。但是如果你的家庭开支更高，你的生活满意度通常也更高。和家庭收入相比，开支似乎更能影响人们的生活满意度。” 除了开支以外，健康的身体、幸福的婚姻和良好的经济状况也对生活满意度有积极影响。另外，年龄对生活满意度也有影响。年轻人的生活满意度高于四十多岁的人，但五十岁后人们的生活满意度又会上升，到八十岁以后又会下降。英国国家统计局的这些研究结果基于两次独立的调查：统计局的年度人口调查和税收福利影响调查。,5,https://mandarinbean.com/can-spending-money-improve-your-life-satisfaction/
